update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,3112.330099359812,0,0.41241250187158585,0.46789153855941956,0.0,0.9693999886512756,27.875,36.041425818077734,0.0,101.0,1.913278579711914,-0.04777051671408117,-0.07467917492613196,0.02475690864957869,0.08085230967119829,0.41241250187158585,0.46789153855941956,0.0,0.9693999886512756
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,3268.7087786618285,1,0.6207312531769276,0.42127307502940614,0.0,0.9693999886512756,74.1875,73.3478175800071,0.0,217.0,1.919037640094757,-0.010854639927856624,-0.0384506625123322,0.01056581293232739,0.04439146141447951,0.6207312531769276,0.42127307502940614,0.0,0.9693999886512756
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,3299.6444085582443,1,0.8586999997496605,0.09539947210522512,0.6858999729156494,0.9693999886512756,157.0,105.9994103757186,34.0,349.0,1.913817897439003,0.003704361093696207,-0.03179637552239001,0.007564790488686413,0.04570413716412641,0.8586999997496605,0.09539947210522512,0.6858999729156494,0.9693999886512756
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,3346.48612074245,2,0.8048687502741814,0.10199883828124297,0.6301000118255615,0.9523000121116638,216.8125,113.33204464647234,53.0,411.0,1.9078753143548965,0.010498422736418433,-0.011720825918018818,0.0031473199342144653,0.038746611589695834,0.8048687502741814,0.10199883828124297,0.6301000118255615,0.9523000121116638
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,3360.0698586921444,3,0.7522187530994415,0.12615447624968404,0.4645000100135803,0.9243999719619751,275.3125,140.1716442214687,84.0,595.0,1.921911895275116,0.011606406420469284,-0.006723885657265782,0.0018182103958679363,0.024872560280358863,0.7522187530994415,0.12615447624968404,0.4645000100135803,0.9243999719619751
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,3327.8080936473248,3,0.6751000005751848,0.15734048737365613,0.40869998931884766,0.9423999786376953,361.0,174.82276739601167,64.0,657.0,1.916980803012848,0.03370659414213151,-0.01782031450420618,0.006058020138880238,0.03581090198730897,0.6751000005751848,0.15734048737365613,0.40869998931884766,0.9423999786376953
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,3329.6423735298004,4,0.6388749983161688,0.14723924677883282,0.40869998931884766,0.9423999786376953,401.25,163.5991671739193,64.0,657.0,1.915899619460106,0.051135357934981585,-0.011856064316816628,0.003937194094760343,0.02828184005112251,0.6388749983161688,0.14723924677883282,0.40869998931884766,0.9423999786376953
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,3225.678924965781,5,0.5906124990433455,0.1848519448567985,0.17649999260902405,0.9423999786376953,454.875,205.391052324584,64.0,915.0,1.9225966334342957,0.041206763591617346,0.00636782543733716,0.000823948641482275,0.017396216037593157,0.5906124990433455,0.1848519448567985,0.17649999260902405,0.9423999786376953
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,3064.7712007786504,5,0.5877437498420477,0.1837034991988731,0.17649999260902405,0.9423999786376953,458.0625,204.1150009032898,64.0,915.0,1.9312328845262527,0.034061853075399995,0.0016243564641627017,0.0008236564663093304,0.013313763495492853,0.5877437498420477,0.1837034991988731,0.17649999260902405,0.9423999786376953
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,3150.536490935812,6,0.42476249672472477,0.30295906968975467,0.0,0.9423999786376953,611.375,299.01293345773524,64.0,1000.0,1.9358424693346024,0.03420808305963874,0.005551654641749337,0.0002954555384349078,0.010818486751214253,0.42476249672472477,0.30295906968975467,0.0,0.9423999786376953
11,22528,3132.187940000095,7,0.3849249966442585,0.3404051399700322,0.0,0.9423999786376953,641.75,332.1275169268575,64.0,1000.0,1.9276383966207504,0.03128071175888181,0.0016294472443405539,0.0011839164872071706,0.014755634008616056,0.3849249966442585,0.3404051399700322,0.0,0.9423999786376953
