update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,1024,2365.2459274230187,39,0.16585000604391098,0.28939710327173934,0.0,0.7336000204086304,23.375,41.64413974378628,0.0,113.0,1.6364095211029053,0.7011163532733917,0.12969355657696724,0.002183944423450157,0.1263076940378887,0.16585000604391098,0.28939710327173934,0.0,0.7336000204086304
2,2048,2322.7804006677975,39,0.16585000604391098,0.28939710327173934,0.0,0.7336000204086304,210.875,68.46429270064797,74.0,250.0,1.6885878443717957,0.5668759346008301,0.1673973947763443,0.017433045664802194,0.1803107821196989,0.16585000604391098,0.28939710327173934,0.0,0.7336000204086304
3,3072,2306.104428935468,40,0.07729999721050262,0.20451656896497653,0.0,0.618399977684021,232.0,47.62352359916263,106.0,250.0,1.7718558609485626,0.4735821411013603,0.10117384605109692,0.005511358962394297,0.08750249705223678,0.07729999721050262,0.20451656896497653,0.0,0.618399977684021
4,4096,2240.63701143177,40,0.07729999721050262,0.20451656896497653,0.0,0.618399977684021,232.0,47.62352359916263,106.0,250.0,1.8518708050251007,0.34155840426683426,0.11206534318625927,0.010416118893772364,0.13438685014992757,0.07729999721050262,0.20451656896497653,0.0,0.618399977684021
5,5120,2216.66006704222,41,0.16944999992847443,0.2934973891329883,0.0,0.6796000003814697,209.875,69.49898830198897,89.0,250.0,1.8627941310405731,0.2781619429588318,0.055040957406163216,0.005601056036539376,0.06321051453044482,0.16944999992847443,0.2934973891329883,0.0,0.6796000003814697
6,6144,2256.337254329232,41,0.24899999797344208,0.32168095750992387,0.0,0.6796000003814697,191.25,75.91895349647544,89.0,250.0,1.888943374156952,0.21197528764605522,0.04732648842036724,0.003192557254806161,0.03965434585762946,0.24899999797344208,0.32168095750992387,0.0,0.6796000003814697
7,7168,2225.9264075658234,42,0.26475000381469727,0.3518904674386751,0.0,0.8740000128746033,186.875,84.74585166838551,35.0,250.0,1.901720404624939,0.1923224925994873,0.017527727875858545,0.0076637143502011895,0.027554497309422856,0.26475000381469727,0.3518904674386751,0.0,0.8740000128746033
8,8192,2225.264428190766,42,0.2859000042080879,0.3722464158055631,0.0,0.8740000128746033,181.0,90.08468238274473,35.0,250.0,1.9116595387458801,0.15271535515785217,0.028187747579067945,0.0027538303984329104,0.02567407288155113,0.2859000042080879,0.3722464158055631,0.0,0.8740000128746033
9,9216,2256.9324591397526,43,0.25430000200867653,0.2841544489097612,0.0,0.704800009727478,193.25,66.79025003696273,82.0,250.0,1.92068213224411,0.15116309747099876,0.008503060205839574,0.0043769763433374465,0.025925892578092354,0.25430000200867653,0.2841544489097612,0.0,0.704800009727478
10,10240,2275.6047464337107,43,0.38865000382065773,0.2524202009721617,0.0,0.6940000057220459,162.875,59.67922062996467,85.0,250.0,1.9136510491371155,0.15325913205742836,-0.0012419324775692075,0.0035234663519077003,0.022417770877400676,0.38865000382065773,0.2524202009721617,0.0,0.6940000057220459
11,11264,2269.0311063024074,44,0.3211500011384487,0.20126424923498923,0.0,0.5356000065803528,181.625,45.06921759915519,129.0,250.0,1.9189668595790863,0.14794132485985756,0.012720969971269369,0.002390562731307,0.024678648228758062,0.3211500011384487,0.20126424923498923,0.0,0.5356000065803528
12,12288,2294.2257695596923,44,0.23764999955892563,0.28373680824273984,0.0,0.8199999928474426,197.875,67.60997984765267,50.0,250.0,1.910519152879715,0.1453930251300335,0.013982668984681368,0.004171817563474178,0.02266594561226231,0.23764999955892563,0.28373680824273984,0.0,0.8199999928474426
13,13312,2299.759953565378,44,0.13884999975562096,0.2744836178708119,0.0,0.8199999928474426,218.375,65.9619918968492,50.0,250.0,1.9158381819725037,0.12817834317684174,0.02290002116933465,0.0011230537784285843,0.02047957262176635,0.13884999975562096,0.2744836178708119,0.0,0.8199999928474426
14,14336,2296.6646485808965,45,0.3420500010251999,0.3624841195380419,0.0,0.8055999875068665,168.875,87.70467134081285,54.0,250.0,1.9171143174171448,0.13242626935243607,-0.0010332978563383222,0.006582345464266837,0.030270532225936717,0.3420500010251999,0.3624841195380419,0.0,0.8055999875068665
15,15360,2283.442072434843,45,0.201299998909235,0.28480313945451785,0.0,0.8055999875068665,204.5,67.06713054842886,54.0,250.0,1.9266844987869263,0.11440853215754032,0.013254978228360415,0.0010490620334167033,0.014791025078607373,0.201299998909235,0.28480313945451785,0.0,0.8055999875068665
16,16384,2219.052530204144,46,0.10565000027418137,0.2795236267393897,0.0,0.8452000021934509,224.125,68.45881517379628,43.0,250.0,1.9119470119476318,0.10193322226405144,0.012302801827900112,0.004603559733368456,0.03185033362691132,0.10565000027418137,0.2795236267393897,0.0,0.8452000021934509
17,17408,2273.2825582060036,46,0.24575000070035458,0.2983670851461337,0.0,0.8452000021934509,195.625,71.87304345163074,43.0,250.0,1.9202823638916016,0.09829210303723812,0.007148704840801656,0.0012413420772645622,0.01617182998811631,0.24575000070035458,0.2983670851461337,0.0,0.8452000021934509
18,18432,2255.1335768581102,47,0.11175000108778477,0.15785600272833486,0.0,0.4311999976634979,229.375,32.027088144256886,158.0,250.0,1.9162142872810364,0.08424621447920799,0.013651332585141063,0.0011033606133423746,0.015919669263122,0.11175000108778477,0.15785600272833486,0.0,0.4311999976634979
19,19456,2272.293937082109,47,0.28004999458789825,0.3631718218159278,0.0,0.7983999848365784,182.625,87.50276781336692,56.0,250.0,1.9202254712581635,0.08814044669270515,-0.007213801029138267,0.005979617591947317,0.03235704182725198,0.28004999458789825,0.3631718218159278,0.0,0.7983999848365784
