policy/LossAfter,Iteration,ProcessExecTime,policy/Entropy,Perplexity,policy/dLoss,AverageReturn,EnvExecTime,MinReturn,StdReturn,MaxReturn,policy/LossBefore,policy/KLBefore,PolicyExecTime,Entropy,NumTrajs,policy/KL,AverageDiscountedReturn,Extras/EpisodeRewardMean,LinearFeatureBaseline/ExplainedVariance
-0.014043009839951992,0,0.0233919620513916,0.66341686,1.8651305783298764,0.014041708036529599,15.6875,0.05261349678039551,8.0,6.527286476783442,45.0,-1.3018034223932773e-06,1.5369536e-11,0.41613149642944336,0.6233310658351121,256,0.009809931,14.409245130779523,15.86,3.05079908002881e-08
-0.03640253096818924,1,0.0236818790435791,0.68598974,1.9427187259090999,0.03640253108648177,16.0597609561753,0.05513405799865723,8.0,7.128335127913537,49.0,1.1829252855033445e-10,8.9559346e-11,0.37346410751342773,0.6640883971313424,251,0.009366902,14.696018195099645,15.8,0.40692583236656177
-0.03053927980363369,2,0.02170848846435547,0.68147296,1.9882262221000766,0.030539278552561666,19.714285714285715,0.05423593521118164,8.0,10.147053874022166,65.0,-1.2510720237557393e-09,-2.1771902e-10,0.38347840309143066,0.6872428955732733,203,0.009341383,17.568919236917395,20.05,0.29203931004591677
-0.03277144581079483,3,0.020347118377685547,0.66855806,1.9728044107333502,0.03277141808355388,27.63448275862069,0.05215167999267578,8.0,15.952867558942216,87.0,-2.772724094768364e-08,-1.2084349e-10,0.38272905349731445,0.679456089198634,145,0.008767606,23.33523859444777,28.06,0.2242022828600213
-0.028900600969791412,4,0.01996135711669922,0.64328456,1.9526296707412627,0.028900655843909107,38.4,0.053342580795288086,10.0,23.964894960675093,100.0,5.487411769422579e-08,3.392199e-10,0.3837769031524658,0.6691770131980616,105,0.0077421432,30.18488840271205,38.94,0.21269915516006366
-0.023156998679041862,5,0.0207517147064209,0.6176662,1.9068713280244471,0.023156999145842794,58.371428571428574,0.0549168586730957,11.0,30.2745397174266,100.0,4.66800931242517e-10,-9.902802e-13,0.3913724422454834,0.6454638508360466,70,0.0068021854,41.80443066764853,52.05,0.311015254333479
-0.020460201427340508,6,0.01885509490966797,0.59231,1.873391982240284,0.02046021606812154,72.83636363636364,0.05209493637084961,11.0,28.71031720565948,100.0,1.4640781031971528e-08,1.3232568e-11,0.3889174461364746,0.6277506819931317,55,0.007181702,49.75236231207974,68.22,0.48402301742413234
-0.014771930873394012,7,0.018882274627685547,0.5933144,1.8288441675606149,0.014771994785377274,89.17777777777778,0.0534205436706543,12.0,21.433399573654917,100.0,6.391198326127778e-08,-2.1084541e-10,0.38887810707092285,0.6036841648825975,45,0.0058205808,58.07998947927093,80.19,0.7562370203452107
-0.0028877705335617065,8,0.018309831619262695,0.58533555,1.8058867065501218,0.0028878008533617106,97.35714285714286,0.05248141288757324,46.0,10.056557748131146,100.0,3.031980000400836e-08,-5.985904e-11,0.39045119285583496,0.5910517213272565,42,0.009109643,62.188720356135676,91.33,0.9191779503098887
-0.013065852224826813,9,0.018491506576538086,0.5884804,1.8154856148669398,0.01306584204769834,97.70731707317073,0.0527949333190918,77.0,5.881943856720407,100.0,-1.0177128473287667e-08,-1.7732723e-11,0.3990175724029541,0.5963529883305013,41,0.0061569978,62.4746421125005,97.5,0.9598030689213128
-0.010234328918159008,10,0.019061803817749023,0.5745064,1.795993176617642,0.01023427624975426,92.18181818181819,0.054448604583740234,24.0,18.321959908154835,100.0,-5.266840474860146e-08,1.1675712e-10,0.39135313034057617,0.5855581706621238,44,0.0055054617,59.62216406896193,95.08,0.8066152410368138
-0.0045272489078342915,11,0.017918109893798828,0.5872756,1.7927954846855476,0.004527292413570194,97.70731707317073,0.05008888244628906,27.0,11.63938625160703,100.0,4.350573590272688e-08,-1.997123e-11,0.37666845321655273,0.5837761249190501,41,0.006296528,62.22037152617184,95.26,0.9386343880078748
-0.0072943405248224735,12,0.017653465270996094,0.58016163,1.8151600077341943,0.007294366870075564,100.0,0.05016970634460449,100.0,0.0,100.0,2.634525309019864e-08,0.0,0.3624434471130371,0.5961736223623156,40,0.006271342,63.39676587267702,97.5,0.9964423502091342
-0.005644176620990038,13,0.018755674362182617,0.5717783,1.7794942244047096,0.005644159454853082,100.0,0.052103519439697266,100.0,0.0,100.0,-1.7166136956348055e-08,0.0,0.35085582733154297,0.5763291803346947,40,0.0061590774,63.39676587267702,99.27,0.999999509224984
-0.009229413233697414,14,0.018549203872680664,0.569052,1.7960249911265904,0.009229372107370182,99.36585365853658,0.053070783615112305,75.0,3.8556648065587074,100.0,-4.112632723263232e-08,-2.6778943e-10,0.40621423721313477,0.5855758846643718,41,0.009476744,63.13273758806991,99.74,0.9859527658056132
-0.009316573850810528,15,0.017922401428222656,0.55965424,1.7919523690254902,0.009316557757555799,100.0,0.05004096031188965,100.0,0.0,100.0,-1.609325472884393e-08,0.0,0.3684101104736328,0.5833057344146073,40,0.006843201,63.39676587267702,99.74,0.9978004553868739
-0.007979716174304485,16,0.019432783126831055,0.5695199,1.778601456361825,0.007979715101420926,100.0,0.05426311492919922,100.0,0.0,100.0,-1.0728835597717534e-09,0.0,0.3838820457458496,0.5758273568078875,40,0.008444353,63.39676587267702,99.99,0.9999995430476029
-0.004130314104259014,17,0.01758718490600586,0.56523436,1.7474868129212657,0.004130308382213066,100.0,0.04956459999084473,100.0,0.0,100.0,-5.7220459481754915e-09,0.0,0.3721911907196045,0.5581786488434299,40,0.0066528306,63.39676587267702,100.0,0.9999995349446595
